,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
220,AS Saint-Étienne,Defender,William Saliba,"Mar 24, 2001 (18)",France,30.06.2020,£10.80m,Ligue 1
221,AS Saint-Étienne,Defender,Timothée Kolodziejczak,"Oct 1, 1991 (27)",France,30.06.2020,£5.40m,Ligue 1
222,AS Saint-Étienne,Defender,Harold Moukoudi,"Nov 27, 1997 (21)",France,30.06.2023,£2.70m,Ligue 1
223,AS Saint-Étienne,Defender,Loïc Perrin,"Aug 7, 1985 (34)",France,30.06.2020,£1.80m,Ligue 1
224,AS Saint-Étienne,Defender,Léo Lacroix,"Feb 27, 1992 (27)",Switzerland,30.06.2020,£1.13m,Ligue 1
225,AS Saint-Étienne,Defender,Gabriel Silva,"May 13, 1991 (28)",Brazil,30.06.2023,£2.25m,Ligue 1
226,AS Saint-Étienne,Defender,Miguel Trauco,"Aug 25, 1992 (27)",Peru,30.06.2022,£1.58m,Ligue 1
227,AS Saint-Étienne,Defender,Sergi Palencia,"Mar 23, 1996 (23)",Spain,30.06.2023,£5.40m,Ligue 1
228,AS Saint-Étienne,Defender,Mathieu Debuchy,"Jul 28, 1985 (34)",France,30.06.2021,£2.70m,Ligue 1
229,AS Saint-Étienne,Defender,Alpha Sissoko,"Mar 7, 1997 (22)",France,30.06.2022,£450k,Ligue 1
230,AS Saint-Étienne,Midfielder,Yann M'Vila,"Jun 29, 1990 (29)",France,30.06.2022,£9.00m,Ligue 1
231,AS Saint-Étienne,Midfielder,Jean-Eudes Aholou,"Mar 20, 1994 (25)",Cote d'Ivoire,30.06.2020,£6.30m,Ligue 1
232,AS Saint-Étienne,Midfielder,Assane Dioussé,"Sep 20, 1997 (21)",Senegal,30.06.2022,£4.05m,Ligue 1
233,AS Saint-Étienne,Midfielder,Zaydou Youssouf,"Jul 11, 1999 (20)",France,30.06.2023,£3.60m,Ligue 1
234,AS Saint-Étienne,Midfielder,Yohan Cabaye,"Jan 14, 1986 (33)",France,30.06.2020,£1.80m,Ligue 1
235,AS Saint-Étienne,Midfielder,Mahdi Camara,"Jun 30, 1998 (21)",France,30.06.2022,£270k,Ligue 1
236,AS Saint-Étienne,Midfielder,Wahbi Khazri,"Feb 8, 1991 (28)",Tunisia,30.06.2022,£14.40m,Ligue 1
237,AS Saint-Étienne,Midfielder,Ryad Boudebouz,"Feb 19, 1990 (29)",Algeria,30.06.2022,£5.40m,Ligue 1
238,AS Saint-Étienne,Forward,Denis Bouanga,"Nov 11, 1994 (24)",Gabon,30.06.2023,£5.40m,Ligue 1
239,AS Saint-Étienne,Forward,Arnaud Nordin,"Jun 17, 1998 (21)",France,30.06.2022,£3.15m,Ligue 1
240,AS Saint-Étienne,Forward,Kévin Monnet-Paquet,"Aug 19, 1988 (31)",France,30.06.2021,£1.80m,Ligue 1
241,AS Saint-Étienne,Forward,Romain Hamouma,"Mar 29, 1987 (32)",France,30.06.2021,£2.25m,Ligue 1
242,AS Saint-Étienne,Forward,Franck Honorat,"Aug 11, 1996 (23)",France,30.06.2023,£1.80m,Ligue 1
243,AS Saint-Étienne,Forward,Loïs Diony,"Dec 20, 1992 (26)",France,30.06.2021,£4.50m,Ligue 1
244,AS Saint-Étienne,Forward,Robert Beric,"Jun 17, 1991 (28)",Slovenia,30.06.2022,£4.50m,Ligue 1
245,RC Strasbourg Alsace,Goalkeeper,Matz Sels,"Feb 26, 1992 (27)",Belgium,30.06.2022,£6.30m,Ligue 1
246,RC Strasbourg Alsace,Goalkeeper,Bingourou Kamara,"Oct 21, 1996 (22)",France,30.06.2021,£2.25m,Ligue 1
247,RC Strasbourg Alsace,Goalkeeper,Eiji Kawashima,"Mar 20, 1983 (36)",Japan,30.06.2021,£225k,Ligue 1
248,RC Strasbourg Alsace,Goalkeeper,Louis Pelletier,"Feb 3, 2000 (19)",France,30.06.2020,£135k,Ligue 1
249,RC Strasbourg Alsace,Defender,Alexander Djiku,"Aug 9, 1994 (25)",France,30.06.2023,£7.20m,Ligue 1
250,RC Strasbourg Alsace,Defender,Stefan Mitrovic,"May 22, 1990 (29)",Serbia,30.06.2022,£3.15m,Ligue 1
251,RC Strasbourg Alsace,Defender,Lamine Koné,"Feb 1, 1989 (30)",Cote d'Ivoire,30.06.2021,£2.70m,Ligue 1
252,RC Strasbourg Alsace,Defender,Anthony Caci,"Jul 1, 1997 (22)",France,30.06.2022,£2.70m,Ligue 1
253,RC Strasbourg Alsace,Defender,Lionel Carole,"Apr 12, 1991 (28)",France,30.06.2021,£2.70m,Ligue 1
254,RC Strasbourg Alsace,Defender,Abdallah Ndour,"Dec 20, 1993 (25)",Senegal,30.06.2020,£540k,Ligue 1
255,RC Strasbourg Alsace,Defender,Kenny Lala,"Oct 3, 1991 (27)",France,30.06.2021,£12.60m,Ligue 1
256,RC Strasbourg Alsace,Defender,Ismaël Aaneba,"May 29, 1999 (20)",France,30.06.2020,£900k,Ligue 1
257,RC Strasbourg Alsace,Defender,Mohamed Simakan,"May 3, 2000 (19)",France,30.06.2021,-,Ligue 1
258,RC Strasbourg Alsace,Midfielder,Ibrahima Sissoko,"Oct 27, 1997 (21)",France,30.06.2022,£5.85m,Ligue 1
259,RC Strasbourg Alsace,Midfielder,Jérémy Grimm,"Mar 27, 1987 (32)",France,30.06.2020,£450k,Ligue 1
260,RC Strasbourg Alsace,Midfielder,Youssouf Fofana,"Jan 10, 1999 (20)",France,30.06.2021,£4.50m,Ligue 1
261,RC Strasbourg Alsace,Midfielder,Sanjin Prcic,"Nov 20, 1993 (25)",Bosnia-Herzegovina,30.06.2022,£3.60m,Ligue 1
262,RC Strasbourg Alsace,Midfielder,Dimitri Liénard,"Feb 13, 1988 (31)",France,30.06.2021,£1.80m,Ligue 1
263,RC Strasbourg Alsace,Midfielder,Jean-Ricner Bellegarde,"Jun 27, 1998 (21)",Haiti,30.06.2023,£1.35m,Ligue 1
264,RC Strasbourg Alsace,Midfielder,Moataz Zemzemi,"Aug 7, 1999 (20)",Tunisia,30.06.2021,£225k,Ligue 1
265,RC Strasbourg Alsace,Midfielder,Adrien Thomasson,"Dec 10, 1993 (25)",France,30.06.2021,£7.20m,Ligue 1
266,RC Strasbourg Alsace,Midfielder,Benjamin Corgnet,"Apr 6, 1987 (32)",France,30.06.2020,£720k,Ligue 1
267,RC Strasbourg Alsace,Forward,Lebo Mothiba,"Jan 28, 1996 (23)",South Africa,30.06.2023,£6.30m,Ligue 1
268,RC Strasbourg Alsace,Forward,Nuno Da Costa,"Feb 10, 1991 (28)",Cape Verde,30.06.2021,£4.50m,Ligue 1
269,RC Strasbourg Alsace,Forward,Ludovic Ajorque,"Feb 25, 1994 (25)",France,30.06.2022,£3.60m,Ligue 1
270,RC Strasbourg Alsace,Forward,Kévin Zohi,"Dec 19, 1996 (22)",Mali,30.06.2021,£1.80m,Ligue 1
271,HSC Montpellier,Goalkeeper,Gerónimo Rulli,"May 20, 1992 (27)",Argentina,30.06.2020,£9.00m,Ligue 1
272,HSC Montpellier,Goalkeeper,Dimitry Bertaud,"Jun 6, 1998 (21)",France,-,£450k,Ligue 1
273,HSC Montpellier,Goalkeeper,Matis Carvalho,"Apr 28, 1999 (20)",Portugal,-,£135k,Ligue 1
274,HSC Montpellier,Defender,Pedro Mendes,"Oct 1, 1990 (28)",Portugal,30.06.2021,£5.40m,Ligue 1
275,HSC Montpellier,Defender,Nicolas Cozza,"Jan 8, 1999 (20)",France,30.06.2020,£3.60m,Ligue 1
276,HSC Montpellier,Defender,Daniel Congré,"Apr 5, 1985 (34)",France,30.06.2020,£675k,Ligue 1
277,HSC Montpellier,Defender,Clément Vidal,"Jun 18, 2000 (19)",France,-,£135k,Ligue 1
278,HSC Montpellier,Defender,Vitorino Hilton,"Sep 13, 1977 (42)",Brazil,30.06.2020,£90k,Ligue 1
279,HSC Montpellier,Defender,Ambroise Oyongo,"Jun 22, 1991 (28)",Cameroon,30.06.2022,£3.60m,Ligue 1
280,HSC Montpellier,Defender,Mihailo Ristic,"Oct 31, 1995 (23)",Serbia,30.06.2022,£720k,Ligue 1
281,HSC Montpellier,Defender,Arnaud Souquet,"Feb 12, 1992 (27)",France,30.06.2023,£3.15m,Ligue 1
282,HSC Montpellier,Defender,Mathías Suárez,"Jun 24, 1996 (23)",Uruguay,30.06.2023,£1.35m,Ligue 1
283,HSC Montpellier,Midfielder,Junior Sambia,"Sep 7, 1996 (23)",France,30.06.2022,£3.60m,Ligue 1
284,HSC Montpellier,Midfielder,Damien Le Tallec,"Apr 19, 1990 (29)",France,30.06.2022,£3.60m,Ligue 1
285,HSC Montpellier,Midfielder,Kylian Kaïboué,"Aug 20, 1998 (21)",France,-,£135k,Ligue 1
286,HSC Montpellier,Midfielder,Téji Savanier,"Dec 22, 1991 (27)",France,30.06.2023,£10.80m,Ligue 1
287,HSC Montpellier,Midfielder,Jordan Ferri,"Mar 12, 1992 (27)",France,30.06.2024,£3.60m,Ligue 1
288,HSC Montpellier,Midfielder,Amir Adouyev,"May 11, 1999 (20)",Russia,30.06.2021,£135k,Ligue 1
289,HSC Montpellier,Midfielder,Joris Chotard,"Sep 24, 2001 (17)",France,30.06.2019,-,Ligue 1
290,HSC Montpellier,Midfielder,Florent Mollet,"Nov 19, 1991 (27)",France,30.06.2022,£8.10m,Ligue 1
291,HSC Montpellier,Forward,Keagan Dolly,"Jan 22, 1993 (26)",South Africa,30.06.2021,£1.17m,Ligue 1
292,HSC Montpellier,Forward,Bilal Boutobba,"Aug 29, 1998 (21)",France,30.06.2020,£450k,Ligue 1
293,HSC Montpellier,Forward,Souleymane Camara,"Dec 22, 1982 (36)",Senegal,30.06.2020,£225k,Ligue 1
294,HSC Montpellier,Forward,Andy Delort,"Oct 9, 1991 (27)",Algeria,30.06.2020,£11.25m,Ligue 1
295,HSC Montpellier,Forward,Gaëtan Laborde,"May 3, 1994 (25)",France,30.06.2023,£9.00m,Ligue 1
296,HSC Montpellier,Forward,Petar Skuletic,"Jun 29, 1990 (29)",Serbia,-,£900k,Ligue 1
297,FC Toulouse,Goalkeeper,Baptiste Reynet,"Oct 28, 1990 (28)",France,30.06.2022,£4.50m,Ligue 1
298,FC Toulouse,Goalkeeper,Mauro Goicoechea,"Mar 27, 1988 (31)",Uruguay,30.06.2021,£720k,Ligue 1
299,FC Toulouse,Goalkeeper,Florentin Bloch,"Feb 2, 2000 (19)",France,30.06.2022,-,Ligue 1
300,FC Toulouse,Defender,Gen Shoji,"Dec 11, 1992 (26)",Japan,30.06.2022,£3.15m,Ligue 1
301,FC Toulouse,Defender,Bafodé Diakité,"Jan 6, 2001 (18)",France,30.06.2023,£1.80m,Ligue 1
302,FC Toulouse,Defender,Nicolas Isimat-Mirin,"Nov 15, 1991 (27)",France,30.06.2020,£1.13m,Ligue 1
303,FC Toulouse,Defender,Agustín Rogel,"Oct 17, 1997 (21)",Uruguay,30.06.2022,£900k,Ligue 1
304,FC Toulouse,Defender,Moussa Diarra,"Nov 10, 2000 (18)",France,30.06.2022,-,Ligue 1
305,FC Toulouse,Defender,Anthony Rouault,"May 29, 2001 (18)",France,-,-,Ligue 1
306,FC Toulouse,Defender,Issiaga Sylla,"Jan 1, 1994 (25)",Guinea,30.06.2023,£3.15m,Ligue 1
307,FC Toulouse,Defender,Mathieu Gonçalves,"Jun 8, 2001 (18)",France,30.06.2021,£135k,Ligue 1
308,FC Toulouse,Defender,Kelvin Amian,"Feb 8, 1998 (21)",France,30.06.2021,£4.50m,Ligue 1
309,FC Toulouse,Defender,Steven Moreira,"Aug 13, 1994 (25)",France,30.06.2021,£1.13m,Ligue 1
310,FC Toulouse,Midfielder,Ibrahim Sangaré,"Dec 2, 1997 (21)",Cote d'Ivoire,30.06.2021,£13.50m,Ligue 1
311,FC Toulouse,Midfielder,Kalidou Sidibé,"Jan 28, 1999 (20)",France,30.06.2023,£3.15m,Ligue 1
312,FC Toulouse,Midfielder,William Vainqueur,"Nov 19, 1988 (30)",France,30.06.2020,£1.13m,Ligue 1
313,FC Toulouse,Midfielder,Jean-Victor Makengo,"Jun 12, 1998 (21)",France,30.06.2020,£3.60m,Ligue 1
314,FC Toulouse,Midfielder,Quentin Boisgard,"Mar 17, 1997 (22)",France,30.06.2020,£225k,Ligue 1
315,FC Toulouse,Midfielder,Amine Adli,"May 10, 2000 (19)",France,30.06.2021,-,Ligue 1
316,FC Toulouse,Midfielder,Kouadio Koné,"May 17, 2001 (18)",France,30.06.2021,-,Ligue 1
317,FC Toulouse,Forward,Max Gradel,"Nov 30, 1987 (31)",Cote d'Ivoire,30.06.2021,£7.20m,Ligue 1
318,FC Toulouse,Forward,Adil Taoui,"Aug 10, 2001 (18)",France,30.06.2021,£135k,Ligue 1
319,FC Toulouse,Forward,Wesley Saïd,"Apr 19, 1995 (24)",France,30.06.2023,£5.40m,Ligue 1
320,FC Toulouse,Forward,Corentin Jean,"Jul 15, 1995 (24)",France,30.06.2021,£2.25m,Ligue 1
321,FC Toulouse,Forward,Mathieu Dossevi,"Feb 12, 1988 (31)",Togo,30.06.2020,£2.25m,Ligue 1
322,FC Toulouse,Forward,Nathan N'Goumou,"Mar 14, 2000 (19)",France,30.06.2022,£270k,Ligue 1
323,FC Toulouse,Forward,Efthymios Koulouris,"Mar 6, 1996 (23)",Greece,30.06.2023,£4.50m,Ligue 1
324,FC Toulouse,Forward,Aaron Leya Iseka,"Nov 15, 1997 (21)",Belgium,30.06.2022,£2.70m,Ligue 1
325,FC Toulouse,Forward,Yaya Sanogo,"Jan 27, 1993 (26)",France,30.06.2020,£2.25m,Ligue 1
326,FC Toulouse,Forward,Stéphane Zobo,"Aug 2, 2000 (19)",Cameroon,30.06.2021,-,Ligue 1
327,FC Nantes,Goalkeeper,Alban Lafont,"Jan 23, 1999 (20)",France,30.06.2021,£15.30m,Ligue 1
328,FC Nantes,Goalkeeper,Alexandre Olliero,"Feb 15, 1996 (23)",France,30.06.2023,£360k,Ligue 1
329,FC Nantes,Goalkeeper,Denis Petric,"May 24, 1988 (31)",Serbia,30.06.2021,£360k,Ligue 1
330,FC Nantes,Defender,Nicolas Pallois,"Sep 19, 1987 (31)",France,30.06.2022,£2.25m,Ligue 1
331,FC Nantes,Defender,Molla Wagué,"Feb 21, 1991 (28)",Mali,30.06.2022,£900k,Ligue 1
332,FC Nantes,Defender,Thomas Basila,"Apr 30, 1999 (20)",France,30.06.2021,£450k,Ligue 1
333,FC Nantes,Defender,Josué Homawoo,"Nov 12, 1997 (21)",Togo,30.06.2020,£135k,Ligue 1
334,FC Nantes,Defender,Charles Traoré,"Jan 1, 1992 (27)",Mali,30.06.2021,£2.70m,Ligue 1
335,FC Nantes,Defender,Wesley Moustache,"Feb 26, 1999 (20)",France,30.06.2021,£135k,Ligue 1
336,FC Nantes,Defender,Fábio,"Jul 9, 1990 (29)",Brazil,30.06.2021,£2.25m,Ligue 1
337,FC Nantes,Defender,Dennis Appiah,"Jun 9, 1992 (27)",France,30.06.2023,£1.35m,Ligue 1
338,FC Nantes,Midfielder,Abdoulaye Touré,"Mar 3, 1994 (25)",France,30.06.2022,£9.00m,Ligue 1
339,FC Nantes,Midfielder,Andrei Girotto,"Feb 17, 1992 (27)",Brazil,30.06.2021,£2.70m,Ligue 1
340,FC Nantes,Midfielder,Batista Mendy,"Jan 12, 2000 (19)",France,30.06.2021,£135k,Ligue 1
341,FC Nantes,Midfielder,Ludovic Blas,"Dec 31, 1997 (21)",France,30.06.2024,£4.50m,Ligue 1
342,FC Nantes,Midfielder,Samuel Moutoussamy,"Aug 12, 1996 (23)",France,30.06.2024,£4.50m,Ligue 1
343,FC Nantes,Midfielder,Rene Krhin,"May 21, 1990 (29)",Slovenia,30.06.2020,£1.80m,Ligue 1
344,FC Nantes,Midfielder,Mehdi Abeid,"Aug 6, 1992 (27)",Algeria,30.06.2022,£1.58m,Ligue 1
345,FC Nantes,Midfielder,Kayembe,"Aug 8, 1994 (25)",Belgium,30.06.2021,£450k,Ligue 1
346,FC Nantes,Midfielder,Cristian Benavente,"May 19, 1994 (25)",Peru,30.06.2020,£4.95m,Ligue 1
347,FC Nantes,Midfielder,Imran Louza,"May 1, 1999 (20)",France,30.06.2024,£270k,Ligue 1
348,FC Nantes,Forward,Moses Simon,"Jul 12, 1995 (24)",Nigeria,30.06.2020,£2.70m,Ligue 1
349,FC Nantes,Forward,Yassine El Ghanassy,"Jul 12, 1990 (29)",Belgium,30.06.2021,£900k,Ligue 1
350,FC Nantes,Forward,Abdoul Kader Bamba,"May 25, 1994 (25)",France,30.06.2022,-,Ligue 1
351,FC Nantes,Forward,Marcus Coco,"Jun 24, 1996 (23)",France,30.06.2023,£2.70m,Ligue 1
352,FC Nantes,Forward,Abdoulaye Dabo,"Mar 4, 2001 (18)",France,30.06.2022,£900k,Ligue 1
353,FC Nantes,Forward,Kalifa Coulibaly,"Aug 21, 1991 (28)",Mali,30.06.2022,£4.50m,Ligue 1
354,FC Nantes,Forward,Bridge Ndilu,"Jul 21, 2000 (19)",France,30.06.2024,£360k,Ligue 1
355,FC Nantes,Forward,Thody Élie Youan,"Apr 7, 1999 (20)",France,30.06.2022,£225k,Ligue 1
356,Stade Reims,Goalkeeper,Predrag Rajkovic,"Oct 31, 1995 (23)",Serbia,30.06.2023,£3.15m,Ligue 1
357,Stade Reims,Goalkeeper,Yehvann Diouf,"Jun 11, 1999 (20)",France,30.06.2023,£270k,Ligue 1
358,Stade Reims,Goalkeeper,Nicolas Lemaître,"Jan 12, 1997 (22)",France,30.06.2022,£225k,Ligue 1
359,Stade Reims,Defender,Dario Maresic,"Sep 29, 1999 (19)",Austria,30.06.2024,£2.70m,Ligue 1
360,Stade Reims,Defender,Yunis Abdelhamid,"Sep 28, 1987 (31)",Morocco,30.06.2020,£2.25m,Ligue 1
361,Stade Reims,Defender,Marshall Munetsi,"Jun 22, 1996 (23)",Zimbabwe,30.06.2023,£495k,Ligue 1
362,Stade Reims,Defender,Axel Disasi,"Mar 11, 1998 (21)",France,30.06.2021,£360k,Ligue 1
363,Stade Reims,Defender,Ghislain Konan,"Dec 27, 1995 (23)",Cote d'Ivoire,30.06.2022,£4.50m,Ligue 1
364,Stade Reims,Defender,Hassane Kamara,"Mar 5, 1994 (25)",France,30.06.2021,£630k,Ligue 1
365,Stade Reims,Defender,Lenny Vallier,"Apr 24, 1999 (20)",France,-,£270k,Ligue 1
366,Stade Reims,Defender,Thomas Foket,"Sep 25, 1994 (24)",Belgium,30.06.2023,£5.40m,Ligue 1
367,Stade Reims,Defender,Sambou Sissoko,"Apr 27, 1999 (20)",France,30.06.2023,£450k,Ligue 1
368,Stade Reims,Midfielder,Xavier Chavalerin,"Mar 7, 1991 (28)",France,30.06.2022,£3.60m,Ligue 1
369,Stade Reims,Midfielder,Nolan Mbemba,"Feb 19, 1995 (24)",France,30.06.2021,£675k,Ligue 1
370,Stade Reims,Midfielder,Alaixys Romao,"Jan 18, 1984 (35)",Togo,30.06.2021,£450k,Ligue 1
371,Stade Reims,Midfielder,Tristan Dingomé,"Feb 17, 1991 (28)",France,30.06.2021,£2.25m,Ligue 1
372,Stade Reims,Midfielder,Grégory Berthier,"Nov 11, 1995 (23)",France,30.06.2020,£540k,Ligue 1
373,Stade Reims,Midfielder,Dereck Kutesa,"Dec 6, 1997 (21)",Switzerland,30.06.2023,£1.58m,Ligue 1
374,Stade Reims,Midfielder,Mathieu Cafaro,"Mar 25, 1997 (22)",France,30.06.2022,£6.75m,Ligue 1
375,Stade Reims,Midfielder,Moreto Cassamá,"Feb 16, 1998 (21)",Guinea-Bissau,30.06.2023,£315k,Ligue 1
376,Stade Reims,Forward,Arbër Zeneli,"Feb 25, 1995 (24)",Kosovo,30.06.2023,£5.40m,Ligue 1
377,Stade Reims,Forward,Moussa Doumbia,"Aug 15, 1994 (25)",Mali,30.06.2022,£1.80m,Ligue 1
378,Stade Reims,Forward,Nathanaël Mbuku,"Mar 16, 2002 (17)",France,30.06.2021,-,Ligue 1
379,Stade Reims,Forward,Rémi Oudin,"Nov 18, 1996 (22)",France,30.06.2021,£9.90m,Ligue 1
380,Stade Reims,Forward,Anastasios Donis,"Aug 29, 1996 (23)",Greece,30.06.2020,£3.60m,Ligue 1
381,Stade Reims,Forward,Hyun-jun Suk,"Jun 29, 1991 (28)","Korea, South",30.06.2022,£3.15m,Ligue 1
382,Stade Reims,Forward,Boulaye Dia,"Nov 16, 1996 (22)",France,30.06.2022,£1.80m,Ligue 1
383,Stade Reims,Forward,Timothé Nkada,"Jul 20, 1999 (20)",France,30.06.2023,£135k,Ligue 1
384,Stade Reims,Forward,Virgile Pinson,"Feb 22, 1996 (23)",France,30.06.2021,-,Ligue 1
385,SC Amiens,Goalkeeper,Régis Gurtner,"Dec 8, 1986 (32)",France,30.06.2022,£1.58m,Ligue 1
386,SC Amiens,Goalkeeper,Matthieu Dreyer,"Mar 20, 1989 (30)",France,30.06.2020,£360k,Ligue 1
387,SC Amiens,Goalkeeper,Boris Essele,"Jan 25, 2000 (19)",Cameroon,30.06.2023,-,Ligue 1
388,SC Amiens,Defender,Prince Gouano,"Dec 24, 1993 (25)",France,30.06.2021,£6.30m,Ligue 1
389,SC Amiens,Defender,Bakaye Dibassy,"Aug 11, 1989 (30)",Mali,30.06.2021,£2.70m,Ligue 1
390,SC Amiens,Defender,Jordan Lefort,"Aug 9, 1993 (26)",France,30.06.2021,£2.70m,Ligue 1
391,SC Amiens,Defender,Arturo Calabresi,"Mar 17, 1996 (23)",Italy,30.06.2020,£1.62m,Ligue 1
392,SC Amiens,Defender,Aurélien Chedjou,"Jun 20, 1985 (34)",Cameroon,30.06.2021,£360k,Ligue 1
393,SC Amiens,Defender,Haitam Aleesami,"Jul 31, 1991 (28)",Norway,30.06.2022,£1.35m,Ligue 1
394,SC Amiens,Defender,Sanasi Sy,"Dec 4, 1999 (19)",France,-,£135k,Ligue 1
395,SC Amiens,Defender,Christophe Jallet,"Oct 31, 1983 (35)",France,30.06.2020,£450k,Ligue 1
396,SC Amiens,Defender,Valentin Gendrey,"Jun 21, 2000 (19)",France,30.06.2022,£135k,Ligue 1
397,SC Amiens,Midfielder,Alexis Blin,"Sep 16, 1996 (22)",France,30.06.2022,£4.50m,Ligue 1
398,SC Amiens,Midfielder,Thomas Monconduit,"Feb 10, 1991 (28)",France,30.06.2021,£3.15m,Ligue 1
399,SC Amiens,Midfielder,Mathieu Bodmer,"Nov 22, 1982 (36)",France,30.06.2020,£225k,Ligue 1
400,SC Amiens,Midfielder,Jonathan Bumbu,"Feb 11, 1999 (20)",France,30.06.2022,-,Ligue 1
401,SC Amiens,Midfielder,Eddy Gnahoré,"Nov 14, 1993 (25)",France,30.06.2022,£3.60m,Ligue 1
402,SC Amiens,Midfielder,Bongani Zungu,"Oct 9, 1992 (26)",South Africa,30.06.2021,£2.25m,Ligue 1
403,SC Amiens,Midfielder,Madih Talal,"Aug 17, 1997 (22)",France,-,£270k,Ligue 1
404,SC Amiens,Midfielder,Rafal Kurzawa,"Jan 29, 1993 (26)",Poland,30.06.2021,£1.35m,Ligue 1
405,SC Amiens,Midfielder,Gaël Kakuta,"Jun 21, 1991 (28)",DR Congo,30.06.2022,£1.80m,Ligue 1
406,SC Amiens,Midfielder,Ulrick Eneme Ella,"May 22, 2001 (18)",France,30.06.2023,£270k,Ligue 1
407,SC Amiens,Midfielder,Jayson Papeau,"Jun 30, 1996 (23)",France,30.06.2022,£135k,Ligue 1
408,SC Amiens,Forward,Stiven Mendoza,"Jun 27, 1992 (27)",Colombia,31.12.2021,£2.70m,Ligue 1
409,SC Amiens,Forward,Chadrac Akolo,"Apr 1, 1995 (24)",DR Congo,30.06.2020,£1.80m,Ligue 1
410,SC Amiens,Forward,Jack Lahne,"Oct 24, 2001 (17)",Sweden,-,£900k,Ligue 1
411,SC Amiens,Forward,Abdoulaye Toure,"Oct 14, 2000 (18)",France,-,-,Ligue 1
412,SC Amiens,Forward,Juan Ferney Otero,"May 26, 1995 (24)",Colombia,30.06.2021,£3.60m,Ligue 1
413,SC Amiens,Forward,Fousseni Diabaté,"Oct 18, 1995 (23)",Mali,30.06.2020,£2.70m,Ligue 1
414,SC Amiens,Forward,Quentin Cornette,"Jan 17, 1994 (25)",France,30.06.2020,£270k,Ligue 1
415,SC Amiens,Forward,Moussa Konaté,"Apr 3, 1993 (26)",Senegal,30.06.2021,£6.30m,Ligue 1
416,SC Amiens,Forward,Saman Ghoddos,"Sep 6, 1993 (26)",Iran,30.06.2023,£4.50m,Ligue 1
417,SC Amiens,Forward,Serhou Guirassy,"Mar 12, 1996 (23)",France,30.06.2022,£3.15m,Ligue 1
418,SC Amiens,Forward,Darell Tokpa,"Jun 2, 2001 (18)",France,30.06.2022,-,Ligue 1
419,SCO Angers,Goalkeeper,Danijel Petkovic,"May 25, 1993 (26)",Montenegro,30.06.2022,£630k,Ligue 1
420,SCO Angers,Goalkeeper,Ludovic Butelle,"Apr 3, 1983 (36)",France,30.06.2021,£450k,Ligue 1
421,SCO Angers,Goalkeeper,Anthony Mandrea,"Dec 25, 1996 (22)",France,30.06.2020,£180k,Ligue 1
422,SCO Angers,Defender,Romain Thomas,"Jun 12, 1988 (31)",France,30.06.2022,£2.70m,Ligue 1
423,SCO Angers,Defender,Mateo Pavlovic,"Jun 9, 1990 (29)",Croatia,30.06.2020,£1.58m,Ligue 1
424,SCO Angers,Defender,Ismaël Traoré,"Aug 18, 1986 (33)",Cote d'Ivoire,30.06.2020,£1.35m,Ligue 1
425,SCO Angers,Defender,Ibrahim Cissé,"May 2, 1996 (23)",France,30.06.2021,£540k,Ligue 1
426,SCO Angers,Defender,Théo Pellenard,"Mar 4, 1994 (25)",France,30.06.2020,£1.80m,Ligue 1
427,SCO Angers,Defender,Rayan Aït Nouri,"Jun 6, 2001 (18)",France,30.06.2021,£450k,Ligue 1
428,SCO Angers,Defender,Abdoulaye Bamba,"Apr 25, 1990 (29)",Cote d'Ivoire,30.06.2021,£2.70m,Ligue 1
429,SCO Angers,Defender,Vincent Manceau,"Jul 24, 1989 (30)",France,30.06.2022,£2.25m,Ligue 1
430,SCO Angers,Defender,Haithem Loucif,"Jul 8, 1996 (23)",Algeria,30.06.2023,£585k,Ligue 1
431,SCO Angers,Midfielder,Baptiste Santamaría,"Mar 9, 1995 (24)",France,30.06.2022,£5.40m,Ligue 1
432,SCO Angers,Midfielder,Vincent Pajot,"Aug 19, 1990 (29)",France,30.06.2021,£2.25m,Ligue 1
433,SCO Angers,Midfielder,Anthony Gomez Mancini,"Apr 6, 2001 (18)",France,-,£135k,Ligue 1
434,SCO Angers,Midfielder,Antonin Bobichon,"Sep 14, 1995 (24)",France,30.06.2023,£4.50m,Ligue 1
435,SCO Angers,Midfielder,Thomas Mangani,"Apr 29, 1987 (32)",France,30.06.2020,£1.80m,Ligue 1
436,SCO Angers,Midfielder,Sada Thioub,"Jun 1, 1995 (24)",Senegal,30.06.2023,£4.95m,Ligue 1
437,SCO Angers,Midfielder,Angelo Fulgini,"Aug 20, 1996 (23)",France,30.06.2021,£4.50m,Ligue 1
438,SCO Angers,Midfielder,Pierrick Capelle,"Apr 15, 1987 (32)",France,30.06.2021,£1.80m,Ligue 1
439,SCO Angers,Midfielder,Mathias Pereira Lage,"Nov 30, 1996 (22)",Portugal,30.06.2022,£1.35m,Ligue 1
440,SCO Angers,Forward,Casimir Ninga,"May 17, 1993 (26)",Chad,30.06.2023,£2.70m,Ligue 1
441,SCO Angers,Forward,Farid El Melali,"May 5, 1997 (22)",Algeria,30.06.2023,£720k,Ligue 1
442,SCO Angers,Forward,Stéphane Bahoken,"May 28, 1992 (27)",Cameroon,30.06.2022,£7.20m,Ligue 1
